datetime,price_open,price_high,price_low,price_close,volume,return_1d,return_3d,return_5d,return_10d,return_20d,volatility_10d,volatility_20d,volatility_30d,vol_ratio_10_30,sma_ratio_10_50,sma_ratio_20_50,rsi_14,bb_pct_b,volume_ratio,volume_trend,price_position_20d,price_position_50d,hl_spread_ma,intraday_vol,close_to_high,log_tx_daily,tx_ma_7,fee_per_tx,hashrate_log,difficulty_log,nupl,active_addr_zscore,realised_cap_log,cdd_log,total_supply_log,mempool_size,exchange_volume_usd,average_block_size,fear_greed_value,prev_close,today_Open_pct,close_to_open_return,return_1d_orig,target,_trainable,dummy_zero
2010-10-06,1.4,1.42,1.35,1.36,4701000,-0.03546099290780125,-0.007299270072992692,-0.07482993197278909,0.030303030303030276,-0.021582733812949506,0.03604152139864019,0.03470933603697143,0.03124049952510418,1.153679051542934,1.027071247954782,1.0278149635579354,46.551724025564816,0.24978225838247037,0.3485281524894074,0.9080192613516309,0.249999989583334,0.5263157756232694,0.06449999999999993,5.1470588235294,0.8571427346938947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-0.007092198581560294,-0.02857142857142847,-0.03546099290780125,0,True,0.0
2010-10-07,1.37,1.38,1.36,1.36,2115000,0.0,-0.02857142857142847,0.0,0.04615384615384621,-0.014492753623188248,0.035480324207936356,0.03467368960760075,0.030468510976837396,1.1644911886241214,1.0318404999256063,1.0273768784407085,50.94339609184764,0.2626379097798921,0.15888219054594624,0.4569722237872556,0.249999989583334,0.5263157756232694,0.06449999999999992,1.4705882352941024,0.99999950000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.007352941176470562,-0.007299270072992692,0.0,0,False,0.0
2010-10-08,1.36,1.39,1.36,1.36,4017000,0.0,-0.03546099290780125,-0.007299270072992692,0.014925373134328401,0.014925373134328401,0.03432245243998818,0.034004361500359806,0.03042524011153237,1.1280910531275672,1.0333283737539058,1.0281208153548582,45.83333319965279,0.24701121361387784,0.30379689396603554,0.38520266361130334,0.249999989583334,0.5263157756232694,0.06199999999999992,2.205882352941162,0.9999996666667778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0,False,0.0
2010-10-11,1.36,1.38,1.34,1.35,2568000,-0.007352941176470562,-0.007352941176470562,-0.03571428571428559,-0.014598540145985384,-0.021739130434782483,0.03364382964124284,0.03337191151775554,0.03042298860317894,1.105868296550076,1.0315335415737021,1.0266993901532055,46.80851049886828,0.15393088881973482,0.1963235209797828,0.2810453768792358,0.20833332465277835,0.4999999868421059,0.06299999999999992,2.962962962962949,0.7499998125000454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,-0.007352941176470562,-0.007352941176470562,0,True,0.0
2010-10-12,1.35,1.35,1.34,1.35,3660000,0.0,-0.007352941176470562,-0.04255319148936154,-0.055944055944055826,-0.04255319148936154,0.02980351228370167,0.0329587785812918,0.03040144358933346,0.9803318185469401,1.0261943741628219,1.0250781366274744,53.6585364021416,0.18746179856635775,0.28655482416220884,0.2671536532804068,0.20833332465277835,0.4999999868421059,0.05999999999999993,0.7407407407407414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,1,False,0.0
2010-10-13,1.38,1.39,1.36,1.37,4773000,0.014814814814814836,0.007352941176470562,0.007352941176470562,-0.0680272108843537,-0.0680272108843537,0.028428816872182266,0.03155453287855889,0.03033788078551589,0.9370729518795332,1.020119225037258,1.0227272727272727,58.53658516597266,0.4673066274891645,0.38191256338704355,0.2741800942179014,0.2916666545138897,0.5526315644044328,0.05749999999999992,2.1897810218977956,0.6666664444445161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.022222222222222143,-0.007246376811594013,0.014814814814814836,1,True,0.0
2010-10-14,1.4,1.4,1.36,1.38,4422000,0.007299270072992581,0.022222222222222143,0.014705882352941124,0.014705882352941124,-0.014285714285714346,0.015435445067239123,0.02981209885856686,0.029204925227063437,0.5285218045248566,1.022218908440203,1.0225917089173875,55.263157691135724,0.6126268412122198,0.41306449578948845,0.3631828945340414,0.4444444197530871,0.5789473531855958,0.0519999999999999,2.898550724637668,0.499999875000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.021897810218977964,-0.014285714285714346,0.007299270072992581,0,True,0.0
2010-10-15,1.39,1.39,1.35,1.37,4270500,-0.007246376811594013,0.014814814814814836,0.007352941176470562,0.0,0.014814814814814836,0.015517841132798858,0.028690237571582487,0.0287341254784485,0.5400490000625815,1.0220664976889815,1.0231847323691665,49.99999980555556,0.46657663906856456,0.4261976047904192,0.39308383233532934,0.38888886728395233,0.5526315644044328,0.0489999999999999,2.9197080291970665,0.49999987500002846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.007246376811594235,-0.014388489208632893,-0.007246376811594013,0,True,0.0
2010-10-18,1.37,1.38,1.35,1.35,2442000,-0.014598540145985384,-0.014598540145985384,0.0,-0.03571428571428559,-0.03571428571428559,0.014046051587690955,0.027591527178935146,0.028851929725425465,0.4868321409708555,1.017732081656981,1.0207122634480703,37.49999983593749,0.23070636019293422,0.25892026432769,0.4149403990362059,0.27777776234568025,0.4999999868421059,0.046499999999999896,2.2222222222222077,0.9999996666667778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,-0.014598540145985384,-0.014598540145985384,0,True,0.0
2010-10-19,1.35,1.36,1.33,1.34,3678000,-0.007407407407407418,-0.02898550724637672,-0.007407407407407418,-0.049645390070921835,-0.02898550724637672,0.013561714554767892,0.027465677288677503,0.02861894372317621,0.4738717804272956,1.012064343163539,1.0187667560321716,27.586206763376893,0.12806482681058362,0.40783400557195726,0.43434654247577864,0.22222220987654417,0.4736841980609424,0.044999999999999894,2.2388059701492558,0.6666664444445185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,-0.007407407407407418,-0.007407407407407418,1,True,0.0
2010-10-20,1.34,1.38,1.34,1.38,4687500,0.02985074626865658,0.007299270072992581,0.007299270072992581,0.014705882352941124,0.045454545454545414,0.012973461324037958,0.026384568950538277,0.029026000912916003,0.44695984449812987,1.011895910780669,1.0193308550185873,54.54545419834708,0.6251118121613081,0.5494940259009504,0.4571790295495907,0.4444444197530871,0.5789473531855958,0.04299999999999989,2.898550724637668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.02985074626865658,0.02985074626865658,0,True,0.0
2010-10-21,1.37,1.4,1.36,1.38,6256500,0.0,0.022222222222222143,0.0,0.014705882352941124,0.06153846153846132,0.012973461324037958,0.026064785132307578,0.028992749470586963,0.4474724572940179,1.0105278766310795,1.0194246737841044,52.38095203174599,0.5784400905813613,0.7499707815267327,0.5114761172694663,0.4117646816609003,0.5789473531855958,0.042999999999999886,2.898550724637668,0.499999875000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,-0.007246376811594013,0.007299270072992581,0.0,0,False,0.0
2010-10-22,1.38,1.4,1.37,1.38,2416500,0.0,0.02985074626865658,0.007299270072992581,0.014705882352941124,0.02985074626865658,0.012973461324037958,0.025254778481536927,0.02845735428316754,0.4558911779370842,1.0088691796008866,1.0177383592017737,44.44444409876541,0.548706911928582,0.30097241553249326,0.48525496716579636,0.33333331111111164,0.555555540123457,0.04249999999999987,2.173913043478247,0.6666664444445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,1,False,0.0
2010-10-25,1.4,1.4,1.38,1.39,1777500,0.007246376811594235,0.007246376811594235,0.02962962962962945,0.02962962962962945,0.014598540145985162,0.012680162443761796,0.024827855430342074,0.02797257621004727,0.4533067607172947,1.0092892951931582,1.0159245060454143,44.44444409876541,0.6942893001360669,0.22777073001960557,0.48222042824741473,0.39999997333333426,0.5312499833984377,0.040999999999999884,1.4388489208633108,0.499999750000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.01449275362318847,-0.0071428571428571175,0.007246376811594235,1,True,0.0
2010-10-26,1.39,1.46,1.37,1.42,9913500,0.021582733812949728,0.02898550724637694,0.05970149253731338,0.051851851851851816,-0.006993006993006978,0.013892414850200395,0.023261213288261817,0.027968519549480948,0.4967159544666951,1.0119135166936313,1.0130166200911896,68.74999939843751,1.2067849443609497,1.3417109911080434,0.678103049250883,0.5999999600000021,0.6249999804687504,0.04299999999999987,6.338028169014074,0.444444395061735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.021582733812949728,0.021582733812949728,0,True,0.0
2010-10-27,1.42,1.43,1.38,1.4,5347500,-0.014084507042253502,0.01449275362318847,0.01449275362318847,0.021897810218977964,-0.04761904761904767,0.014644960421496156,0.022478989749723174,0.026932640837817434,0.5437623095359206,1.012332990750257,1.008662457788871,61.111110635802454,1.1013309669699427,0.8654172937806477,0.8322085740641841,0.4666666355555569,0.5624999824218753,0.04249999999999987,3.5714285714285747,0.599999880000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,-0.014084507042253502,-0.014084507042253502,1,True,0.0
2010-10-28,1.43,1.43,1.4,1.41,3363000,0.0071428571428571175,0.014388489208633004,0.021739130434782705,0.021739130434782705,0.03676470588235281,0.014639067666683641,0.01464546641922949,0.025500611108880477,0.5740671022944477,1.0121576094917242,1.008129485864948,63.15789427146814,1.2354670190506516,0.7154710237426603,0.9708960939494511,0.6153845680473403,0.5937499814453128,0.03749999999999988,2.1276595744680873,0.6666664444445185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.021428571428571352,-0.013986013986013957,0.0071428571428571175,1,True,0.0
2010-10-29,1.41,1.46,1.4,1.46,4209000,0.03546099290780136,0.028169014084507005,0.05797101449275366,0.06569343065693412,0.06569343065693412,0.017509483896972752,0.016434721998826052,0.025320092657204158,0.6915249963250404,1.0156249999999998,1.008323598130841,73.91304302835542,1.8452929721538518,0.9431774255894859,1.1029730592763147,0.9999999230769291,0.7419354599375656,0.03899999999999989,4.109589041095894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.03546099290780136,0.03546099290780136,0,True,0.0
